button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.752200000047679],[4.752299999952314],844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,space,6.5731,,,,,,,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,37.7,38.8,,,,,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,space,11.8756,,,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,space,17.7197,,,,,,,,,,,,,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,45,35,space,11.3903,41,8.8524,0,0,0,0,1,101,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,41,35,space,13.9263,37,13.4146,0,1,1,1,1,102,,,,,,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,46,35,space,7.6241,18,5.9545,,,,,,1,0,0,0,1,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,36,35,space,7.5294,9,6.455,,,,,,23,0,1,1,23,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,38,35,space,3.9431,3,2.3179,,,,,,51,0,2,2,51,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,28,35,space,5.4294,15,4.6915,,,,,,80,0,3,3,80,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,51,35,space,7.2756,18,4.0227,,,,,,38,0,4,4,38,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,33,35,space,7.5951,6,6.1084,,,,,,28,0,5,5,28,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,37,35,space,5.059,8,2.8737,,,,,,73,0,6,6,73,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,46,35,space,5.1952,10,3.9657,,,,,,13,0,7,7,13,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,38,35,space,7.162,17,4.3268,,,,,,65,0,8,8,65,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,40,35,space,4.2014,11,2.9058,,,,,,33,0,9,9,33,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,50,35,space,3.4785,3,2.3218,,,,,,14,0,10,10,14,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,27,35,space,14.2309,1,11.7404,,,,,,0,0,11,11,0,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,38,35,space,4.2935,4,2.719,,,,,,68,0,12,12,68,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,32,35,space,4.7218,4,3.6003,,,,,,27,0,13,13,27,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,41,35,space,4.3249,10,2.6289,,,,,,26,0,14,14,26,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,41,35,space,5.2868,11,3.8156,,,,,,15,0,15,15,15,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,40,35,space,5.2631,13,4.182,,,,,,7,0,16,16,7,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,30,35,space,5.4763,7,3.8685,,,,,,82,0,17,17,82,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,27,35,space,8.307,18,7.0571,,,,,,44,0,18,18,44,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,36,35,space,4.641,22,2.2574,,,,,,78,0,19,19,78,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,40,35,space,4.7394,21,2.3344,,,,,,76,0,20,20,76,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,42,35,space,5.5358,28,3.9233,,,,,,6,0,21,21,6,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,31,35,space,9.9178,32,8.288,,,,,,17,0,22,22,17,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,27,35,space,6.2652,21,4.7487,,,,,,74,0,23,23,74,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,28,35,space,6.362,23,5.6464,,,,,,34,0,24,24,34,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,26,35,space,5.9057,11,5.3076,,,,,,42,0,25,25,42,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,43,35,space,3.4998,5,2.9869,,,,,,48,0,26,26,48,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,37,35,space,5.0442,17,3.9021,,,,,,53,0,27,27,53,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,31,35,space,4.3808,31,3.7825,,,,,,81,0,28,28,81,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,51,35,space,3.5258,25,1.6703,,,,,,70,0,29,29,70,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,27,35,space,5.6178,32,4.6719,,,,,,45,0,30,30,45,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,46,35,space,6.1727,40,5.2437,,,,,,25,0,31,31,25,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,35,35,space,6.263,40,4.929,,,,,,84,0,32,32,84,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,28,35,space,6.7582,7,5.139,,,,,,79,0,33,33,79,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,34,35,space,6.6669,39,6.0912,,,,,,77,0,34,34,77,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,30,35,space,3.7832,33,2.2985,,,,,,8,0,35,35,8,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,33,35,space,3.1531,5,1.9118,,,,,,30,0,36,36,30,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,48,35,space,3.9724,28,2.621,,,,,,36,0,37,37,36,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,50,35,space,5.684,11,4.6018,,,,,,71,0,38,38,71,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,33,35,space,3.6601,20,2.1429,,,,,,16,0,39,39,16,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,38,35,space,21.0845,28,17.6779,,,,,,32,0,40,40,32,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,45,35,space,7.1226,19,6.0437,,,,,,56,0,41,41,56,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,51,35,space,6.4561,19,3.9794,,,,,,57,0,42,42,57,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,36,35,space,7.8469,29,7.1877,,,,,,41,0,43,43,41,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,39,35,space,4.3332,34,3.7148,,,,,,31,0,44,44,31,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,47,35,space,7.9083,14,6.8502,,,,,,54,0,45,45,54,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,29,35,space,8.2481,18,6.3725,,,,,,49,0,46,46,49,1,,
,,,844,5c3f0b7ca98c4c000111fee2,55,male,2022-11-22_17h10.28.321,onlinegloss,2022.2.3,Win32,22.06044562,,,,,,,,,47,35,space,4.4771,13,3.3881,,,,,,2,0,47,47,2,1,,
